,train_score,sparsity_sc,sparsity_sp,sparsity_diff
ckmt1,0.9196902,0.05844125916025256,0.0864197530864198,0.027978493926167247
slc39a10,0.91877043,0.14356823523989493,0.0864197530864198,-0.05714848215347512
ace2,0.9187201,0.9967276582015947,0.9845679012345679,-0.012159756967026758
mast3,0.91856307,0.31543531363783006,0.07098765432098764,-0.24444765931684242
atox1,0.91657114,0.019772318753744744,0.07407407407407407,0.054301755320329326
acot7,0.9161796,0.039083744296446565,0.08024691358024694,0.04116316928380037
rcan2,0.91535085,0.13485735355118222,0.08333333333333337,-0.051524020217848854
hlf,0.9147435,0.22533069087892332,0.08950617283950613,-0.1358245180394172
ramp1,0.91412413,0.30437387657279813,0.0771604938271605,-0.22721338274563763
phyhipl,0.9140086,0.025856109139512418,0.08024691358024694,0.05439080444073452
slc8a1,0.9139065,0.11162833571461495,0.08333333333333337,-0.028295002381281575
nell2,0.91385657,0.2055122828040743,0.058641975308642014,-0.14687030749543228
enpp2,0.91371465,0.4260035949670461,0.0864197530864198,-0.3395838418806263
arhgdig,0.9133001,0.07014794672074476,0.09259259259259256,0.0224446458718478
syt13,0.91295636,0.08084066921694244,0.0771604938271605,-0.0036801753897819367
enpep,0.9126258,0.9899064386781583,0.9722222222222222,-0.017684216455936097
araf,0.91232955,0.02000276535926626,0.08950617283950613,0.06950340748023986
tpm1,0.91202223,0.0378854219477347,0.07407407407407407,0.03618865212633937
cxcr4,0.91122514,0.9816103608793842,0.9969135802469136,0.01530321936752932
syngr3,0.91025853,0.055353274646264494,0.08950617283950613,0.03415289819324163
fut9,0.9101781,0.11748167949486099,0.1049382716049383,-0.012543407889922698
son,0.91008675,0.0005991611743558778,0.07407407407407407,0.07347491289971819
gpr37l1,0.90942127,0.9357053970595013,0.0864197530864198,-0.8492856439730815
pvalb,0.9089816,0.7956399502235332,0.16049382716049387,-0.6351461230630393
kcnj8,0.90852034,0.9935014057242937,0.9259259259259259,-0.06757547979836775
nefm,0.9082574,0.4275706318845923,0.10185185185185186,-0.32571878003274046
brinp1,0.9072109,0.11711296492602663,0.08950617283950613,-0.027606792086520504
rasgrf1,0.9071135,0.10872470848504401,0.1049382716049383,-0.0037864368801057147
crip2,0.90683305,0.21468405770383003,0.08950617283950613,-0.1251778848643239
st3gal5,0.9061337,0.11457805226529016,0.11111111111111116,-0.003466941154179004
mog,0.9051123,0.9400838825644098,0.37037037037037035,-0.5697135121940394
olig1,0.90509695,0.9517905701249021,0.2685185185185185,-0.6832720516063836
cacna2d1,0.9049284,0.30211549983868735,0.0864197530864198,-0.21569574675226755
mmp17,0.9030995,0.313730008756971,0.1049382716049383,-0.2087917371520327
sst,0.9028169,0.6428538507627783,0.06481481481481477,-0.5780390359479636
fam107a,0.9022745,0.9188367055353275,0.1450617283950617,-0.7737749771402658
