,train_score,sparsity_sc,sparsity_sp,sparsity_diff
tbr1,0.8294089,0.4955062911923307,0.13580246913580252,-0.3597038220565282
mal2,0.8293947,0.07484905747338344,0.0771604938271605,0.0023114363537770632
2010300c02rik,0.82879156,0.38387795547771586,0.12654320987654322,-0.25733474560117264
sdcbp,0.82842094,0.03830022583767345,0.1049382716049383,0.06663804576726484
schip1,0.8274625,0.10531409872332576,0.12654320987654322,0.02122911115321746
slc8a1,0.82698244,0.11162833571461495,0.08333333333333337,-0.028295002381281575
mmp17,0.8266274,0.313730008756971,0.1049382716049383,-0.2087917371520327
plekhb1,0.826352,0.7885882840945753,0.2098765432098766,-0.5787117408846987
cnih2,0.826165,0.06461722818822879,0.04012345679012341,-0.02449377139810538
lpgat1,0.82609993,0.07526386136332208,0.13888888888888884,0.06362502752556676
acot7,0.8260362,0.039083744296446565,0.08024691358024694,0.04116316928380037
rcan2,0.82539546,0.13485735355118222,0.08333333333333337,-0.051524020217848854
camkk2,0.8250519,0.1550444761948656,0.11728395061728392,-0.037760525577581694
slc6a1,0.82375765,0.46559432179564,0.0679012345679012,-0.3976930872277388
sparc,0.8234472,0.9000783518458773,0.1635802469135802,-0.7364981049322971
rasgrf1,0.8232358,0.10872470848504401,0.1049382716049383,-0.0037864368801057147
hspa12a,0.82288975,0.2090150712080011,0.10802469135802473,-0.10099037984997639
lin7b,0.82246673,0.0839747430520349,0.11419753086419748,0.030222787812162588
cetn3,0.82243097,0.0176982993040512,0.10185185185185186,0.08415355254780066
bri3,0.8210528,0.21924690049315576,0.09876543209876543,-0.12048146839439033
syngr3,0.8206793,0.055353274646264494,0.08950617283950613,0.03415289819324163
csrp1,0.82001466,0.7327280269161636,0.1820987654320988,-0.5506292614840648
cacna2d1,0.8177708,0.30211549983868735,0.0864197530864198,-0.21569574675226755
sept4,0.8169411,0.160483016085173,0.14197530864197527,-0.01850770744319774
phyhipl,0.8164487,0.025856109139512418,0.08024691358024694,0.05439080444073452
ivns1abp,0.81602746,0.05756556205927088,0.16975308641975306,0.11218752436048218
